click,price,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
1,49.8,7.1,3109,423,1180,1230,236,40,3664,423,7933
0,38.0,8.7,1423,819,468,125,9,2,1539,101,5015
1,13.5,8.2,84621,29588,42269,12342,338,84,123854,1443,28906
1,30.0,9.3,2759,1930,687,129,8,5,3153,374,3336
1,28.0,8.7,8495,4308,3305,815,59,8,9752,1621,16462
1,45.0,8.8,3065,1711,1079,227,33,15,3510,1027,11722
1,39.0,7.4,232,50,97,69,14,2,263,94,1784
0,14.1,8.3,17964,6479,8346,2961,143,35,30823,1798,16608
1,19.9,9.1,5937,3999,1536,350,35,17,6831,547,12847
1,68.0,8.3,197,71,85,36,5,0,224,47,2563
0,25.0,8.8,4909,2647,1733,456,49,24,6264,1081,16262
1,55.0,9.4,3915,2848,877,164,15,11,4128,746,4098
1,43.9,9.0,93269,57583,28978,6336,279,93,126968,6675,58391
1,36.0,8.4,61408,22414,28801,9211,798,184,79509,5924,26703
0,49.8,8.2,291,94,154,39,4,0,288,133,4707
0,69.9,7.7,6875,1588,3321,1712,206,48,6929,1129,5188
1,59.0,8.7,104696,61353,32666,9841,732,104,144125,743,11205
0,120.0,8.9,776,404,307,59,4,2,708,357,12588
0,13.9,8.2,15086,5682,6376,2788,195,45,23798,490,8033
0,29.8,8.8,689,386,254,47,2,0,817,61,585
1,39.5,8.7,4220,2360,1351,434,50,25,4682,823,9722
1,32.8,9.3,1508,1078,357,66,6,1,1626,256,6123
0,22.0,8.8,1277,632,519,116,8,2,1529,165,4671
0,168.0,8.7,1000,488,366,122,19,5,1085,360,10825
0,31.0,9.0,2658,1609,806,210,26,7,3297,821,11405
1,32.0,7.2,32616,8700,10297,9091,2541,1987,39287,6670,25925
0,55.0,8.8,12385,6738,4347,1127,136,37,11942,4474,61189
1,48.0,8.9,3093,1816,1092,167,15,3,3988,233,21487
0,19.5,8.4,962,430,404,115,11,2,1116,49,116
0,15.0,8.2,9901,3126,5115,1543,98,19,12173,523,7179
1,25.0,9.0,15462,9659,4504,1145,108,46,17309,2303,23331
1,39.5,9.2,217277,150574,56927,8691,651,434,245058,8170,54367
0,36.0,9.0,13000,8346,3887,689,65,13,14779,798,22509
1,28.0,7.8,43992,11670,19024,11581,1409,308,60124,14156,50410
1,17.0,8.6,47384,22034,19902,5165,236,47,67163,1433,22698
1,52.0,8.3,11404,4756,5007,1471,136,34,11945,730,13064
0,12.7,8.9,52001,29508,17040,4987,363,103,78932,12569,73719
0,25.0,9.0,5806,3610,1715,430,34,17,6641,892,6403
1,41.0,8.7,282,130,122,30,0,0,300,69,523
0,118.0,9.3,1466,1050,340,64,5,7,1343,761,14758
1,39.0,9.1,1276,747,447,80,0,2,1449,110,1716
1,36.0,9.1,7720,4769,2512,409,23,7,8766,1929,18506
1,25.0,8.4,1490,627,672,176,13,2,1615,351,4782
0,39.8,6.6,19260,3579,5580,6369,2155,1577,21489,1848,17803
1,68.0,9.2,8744,6043,2169,472,43,17,8279,4431,36433
1,23.0,8.5,197698,82721,85690,26716,1978,593,272969,29021,173630
1,42.0,8.2,3997,1346,1986,567,79,19,4403,407,13928
1,28.0,9.0,1500,851,538,103,7,1,3019,160,1636
0,19.5,8.5,21629,8760,10296,2422,108,43,25538,732,19182
1,23.0,8.2,31403,9757,16753,4674,188,31,43460,687,19249
0,29.9,8.6,9967,4750,3732,1347,119,19,12220,959,11827
0,46.0,9.2,1625,1053,490,78,3,1,1785,125,5802
1,58.0,8.8,107906,66537,32188,8533,540,108,147103,863,12798
1,66.0,9.0,45612,28383,14168,2970,91,0,70824,3045,39523
